year,iso3,port_name,label,vessel_class,type,flag,is_pacific_rim,is_psma_port,is_psma_state,n_visits,n_visits_fishing_vessel,n_visits_fishing_vessel_hs,n_visits_support_vessel,n_visits_support_vessel_hs
2024,CHN,,CHN-2051,carrier,domestic,CHN,1,0,0,4,0,0,4,0
2024,CHN,,ZHOUSHAN,bunker,domestic,CHN,1,0,0,1719,0,0,1719,0
2024,CHN,,CHN-2581,fishing,domestic,CHN,1,0,0,87,87,0,0,0
2024,CHN,,CHN-1969,fishing,domestic,CHN,1,0,0,977,977,0,0,0
2024,CHN,,CHN-2114,fishing,domestic,CHN,1,0,0,117,117,0,0,0
2024,CHN,,CHN-542,fishing,domestic,CHN,1,0,0,149,149,0,0,0
2024,CHN,,CAOJING,fishing,domestic,CHN,1,0,0,548,548,0,0,0
2024,CHN,,CHN-1164,fishing,domestic,CHN,1,0,0,359,359,0,0,0
2024,CHN,,CHN-2193,fishing,domestic,CHN,1,0,0,772,772,0,0,0
2024,CHN,,CHN-2351,fishing,domestic,CHN,1,0,0,247,247,1,0,0
2024,CHN,,CHN-2102,fishing,domestic,CHN,1,0,0,100,100,0,0,0
2024,CHN,,PANJIN,bunker,domestic,CHN,1,0,0,946,0,0,946,0
2024,CHN,,CHN-2315,fishing,domestic,CHN,1,0,0,301,301,0,0,0
2024,CHN,,CHN-1605,fishing,domestic,CHN,1,0,0,643,643,0,0,0
2024,CHN,,CHN-2411,fishing,domestic,CHN,1,0,0,174,174,0,0,0
2024,CHN,,CHN-2346,fishing,domestic,CHN,1,0,0,1079,1079,0,0,0
2024,CHN,,CHN-2188,fishing,domestic,CHN,1,0,0,265,265,0,0,0
2024,CHN,,YANGPU,bunker,domestic,CHN,1,0,0,1989,0,0,1989,0
2024,CHN,,FUZHOU,bunker,domestic,CHN,1,0,0,1178,0,0,1178,0
2024,CHN,,CHN-1688,bunker,domestic,CHN,1,0,0,192,0,0,192,0
2024,CHN,,CHN-812,fishing,domestic,CHN,1,0,0,36,36,0,0,0
2024,CHN,,DIASHAN,bunker,domestic,CHN,1,0,0,1150,0,0,1150,0
2024,CHN,,CHN-882,fishing,domestic,CHN,1,0,0,254,254,0,0,0
2024,CHN,,CHN-2242,fishing,domestic,CHN,1,0,0,312,312,0,0,0
2024,CHN,,SHEYANG,bunker,domestic,CHN,1,0,0,691,0,0,691,0
2024,CHN,,CHN-2465,fishing,domestic,CHN,1,0,0,606,606,0,0,0
2024,CHN,,CHN-780,fishing,domestic,CHN,1,0,0,1065,1065,0,0,0
2024,CHN,,CHN-1774,fishing,domestic,CHN,1,0,0,19,19,0,0,0
2024,CHN,,QIANLIYAN,fishing,domestic,CHN,1,0,0,21,21,0,0,0
2024,CHN,,LANSHAN,bunker,domestic,CHN,1,0,0,1133,0,0,1133,0
2024,CHN,,CHN-1615,bunker,domestic,CHN,1,0,0,32,0,0,32,0
2024,CHN,,CHN-2368,fishing,domestic,CHN,1,0,0,250,250,0,0,0
2024,CHN,,CHN-1947,fishing,domestic,CHN,1,0,0,228,228,0,0,0
2024,CHN,,ZHAPU,bunker,domestic,CHN,1,0,0,1897,0,0,1897,0
2024,CHN,,PINGTAN,bunker,domestic,CHN,1,0,0,98,0,0,98,0
2024,CHN,,NANCUN,fishing,domestic,CHN,1,0,0,149,149,0,0,0
2024,CHN,,CHN-2586,fishing,domestic,CHN,1,0,0,350,350,0,0,0
2024,CHN,,CHN-2362,bunker,domestic,CHN,1,0,0,23,0,0,23,0
2024,CHN,,CHN-2351,bunker,domestic,CHN,1,0,0,1095,0,0,1095,0
2024,CHN,,CHN-1904,fishing,domestic,CHN,1,0,0,6,6,0,0,0
2024,CHN,,CHN-2003,fishing,domestic,CHN,1,0,0,149,149,0,0,0
2024,CHN,,CHN-114,fishing,domestic,CHN,1,0,0,152,152,0,0,0
