FID_1,LATITUDE,LONGITUDE,FID_2,F_AREA
162,-77.50000000000,-87.50000000000,0,
163,-77.50000000000,-82.50000000000,0,
164,-77.50000000000,-77.50000000000,0,
173,-77.50000000000,-32.50000000000,0,
174,-77.50000000000,-27.50000000000,0,
175,-77.50000000000,-22.50000000000,0,
176,-77.50000000000,-17.50000000000,0,
177,-77.50000000000,-12.50000000000,0,
178,-77.50000000000,-7.50000000000,0,
179,-77.50000000000,-2.50000000000,0,
180,-77.50000000000,2.50000000000,0,
181,-77.50000000000,7.50000000000,0,
182,-77.50000000000,12.50000000000,0,
183,-77.50000000000,17.50000000000,0,
184,-77.50000000000,22.50000000000,0,
185,-77.50000000000,27.50000000000,0,
186,-77.50000000000,32.50000000000,0,
187,-77.50000000000,37.50000000000,0,
188,-77.50000000000,42.50000000000,0,
189,-77.50000000000,47.50000000000,0,
190,-77.50000000000,52.50000000000,0,
191,-77.50000000000,57.50000000000,0,
192,-77.50000000000,62.50000000000,0,
193,-77.50000000000,67.50000000000,0,
194,-77.50000000000,72.50000000000,0,
195,-77.50000000000,77.50000000000,0,
196,-77.50000000000,82.50000000000,0,
197,-77.50000000000,87.50000000000,0,
198,-77.50000000000,92.50000000000,0,
199,-77.50000000000,97.50000000000,0,
200,-77.50000000000,102.50000000000,0,
201,-77.50000000000,107.50000000000,0,
202,-77.50000000000,112.50000000000,0,
203,-77.50000000000,117.50000000000,0,
204,-77.50000000000,122.50000000000,0,
205,-77.50000000000,127.50000000000,0,
206,-77.50000000000,132.50000000000,0,
207,-77.50000000000,137.50000000000,0,
208,-77.50000000000,142.50000000000,0,
209,-77.50000000000,147.50000000000,0,
210,-77.50000000000,152.50000000000,0,
211,-77.50000000000,157.50000000000,0,
212,-77.50000000000,162.50000000000,0,
213,-77.50000000000,167.50000000000,0,
232,-72.50000000000,-97.50000000000,0,
237,-72.50000000000,-72.50000000000,0,
239,-72.50000000000,-62.50000000000,0,
250,-72.50000000000,-7.50000000000,0,
251,-72.50000000000,-2.50000000000,0,
252,-72.50000000000,2.50000000000,0,
253,-72.50000000000,7.50000000000,0,
254,-72.50000000000,12.50000000000,0,
255,-72.50000000000,17.50000000000,0,
256,-72.50000000000,22.50000000000,0,
257,-72.50000000000,27.50000000000,0,
258,-72.50000000000,32.50000000000,0,
259,-72.50000000000,37.50000000000,0,
260,-72.50000000000,42.50000000000,0,
261,-72.50000000000,47.50000000000,0,
262,-72.50000000000,52.50000000000,0,
263,-72.50000000000,57.50000000000,0,
264,-72.50000000000,62.50000000000,0,
265,-72.50000000000,67.50000000000,0,
266,-72.50000000000,72.50000000000,0,
267,-72.50000000000,77.50000000000,0,
268,-72.50000000000,82.50000000000,0,
269,-72.50000000000,87.50000000000,0,
270,-72.50000000000,92.50000000000,0,
271,-72.50000000000,97.50000000000,0,
272,-72.50000000000,102.50000000000,0,
273,-72.50000000000,107.50000000000,0,
274,-72.50000000000,112.50000000000,0,
275,-72.50000000000,117.50000000000,0,
276,-72.50000000000,122.50000000000,0,
277,-72.50000000000,127.50000000000,0,
278,-72.50000000000,132.50000000000,0,
279,-72.50000000000,137.50000000000,0,
280,-72.50000000000,142.50000000000,0,
281,-72.50000000000,147.50000000000,0,
282,-72.50000000000,152.50000000000,0,
283,-72.50000000000,157.50000000000,0,
284,-72.50000000000,162.50000000000,0,
285,-72.50000000000,167.50000000000,0,
310,-67.50000000000,-67.50000000000,0,
334,-67.50000000000,52.50000000000,0,
335,-67.50000000000,57.50000000000,0,
340,-67.50000000000,82.50000000000,0,
341,-67.50000000000,87.50000000000,0,
342,-67.50000000000,92.50000000000,0,
343,-67.50000000000,97.50000000000,0,
344,-67.50000000000,102.50000000000,0,
345,-67.50000000000,107.50000000000,0,
346,-67.50000000000,112.50000000000,0,
347,-67.50000000000,117.50000000000,0,
348,-67.50000000000,122.50000000000,0,
349,-67.50000000000,127.50000000000,0,
350,-67.50000000000,132.50000000000,0,
351,-67.50000000000,137.50000000000,0,
352,-67.50000000000,142.50000000000,0,
525,-52.50000000000,-72.50000000000,0,
597,-47.50000000000,-72.50000000000,0,
598,-47.50000000000,-67.50000000000,0,
669,-42.50000000000,-72.50000000000,0,
670,-42.50000000000,-67.50000000000,0,
713,-42.50000000000,147.50000000000,0,
718,-42.50000000000,172.50000000000,0,
741,-37.50000000000,-72.50000000000,0,
742,-37.50000000000,-67.50000000000,0,
743,-37.50000000000,-62.50000000000,0,
744,-37.50000000000,-57.50000000000,0,
784,-37.50000000000,142.50000000000,0,
785,-37.50000000000,147.50000000000,0,
814,-32.50000000000,-67.50000000000,0,
815,-32.50000000000,-62.50000000000,0,
816,-32.50000000000,-57.50000000000,0,
817,-32.50000000000,-52.50000000000,0,
832,-32.50000000000,22.50000000000,0,
833,-32.50000000000,27.50000000000,0,
851,-32.50000000000,117.50000000000,0,
852,-32.50000000000,122.50000000000,0,
855,-32.50000000000,137.50000000000,0,
856,-32.50000000000,142.50000000000,0,
857,-32.50000000000,147.50000000000,0,
886,-27.50000000000,-67.50000000000,0,
887,-27.50000000000,-62.50000000000,0,
888,-27.50000000000,-57.50000000000,0,
889,-27.50000000000,-52.50000000000,0,
903,-27.50000000000,17.50000000000,0,
904,-27.50000000000,22.50000000000,0,
905,-27.50000000000,27.50000000000,0,
906,-27.50000000000,32.50000000000,0,
923,-27.50000000000,117.50000000000,0,
924,-27.50000000000,122.50000000000,0,
925,-27.50000000000,127.50000000000,0,
926,-27.50000000000,132.50000000000,0,
927,-27.50000000000,137.50000000000,0,
928,-27.50000000000,142.50000000000,0,
929,-27.50000000000,147.50000000000,0,
930,-27.50000000000,152.50000000000,0,
958,-22.50000000000,-67.50000000000,0,
959,-22.50000000000,-62.50000000000,0,
960,-22.50000000000,-57.50000000000,0,
961,-22.50000000000,-52.50000000000,0,
962,-22.50000000000,-47.50000000000,0,
963,-22.50000000000,-42.50000000000,0,
